timestamp,open,high,low,close,volume
2026-01-01T00:00:00,1.1000,1.1010,1.0990,1.1000,1000
2026-01-01T01:00:00,1.0998,1.1005,1.0988,1.0990,1100
2026-01-01T02:00:00,1.0990,1.0996,1.0980,1.0980,1200
2026-01-01T03:00:00,1.0982,1.1002,1.0980,1.1000,1300
2026-01-01T04:00:00,1.1000,1.1025,1.0998,1.1020,1250
2026-01-01T05:00:00,1.1018,1.1032,1.1010,1.1030,1400
2026-01-01T06:00:00,1.1030,1.1035,1.1005,1.1010,1500
2026-01-01T07:00:00,1.1012,1.1015,1.0985,1.0990,1500
2026-01-01T08:00:00,1.0990,1.0995,1.0975,1.0980,1450
2026-01-01T09:00:00,1.0985,1.1008,1.0983,1.1005,1350
