timestamp,open,high,low,close,volume
2025-01-01T00:00:00,1.08000,1.08012,1.07988,1.08000,900
2025-01-01T00:15:00,1.08000,1.08015,1.07988,1.08003,903
2025-01-01T00:30:00,1.08003,1.08019,1.07991,1.08007,906
2025-01-01T00:45:00,1.08007,1.08022,1.07995,1.08010,909
2025-01-01T01:00:00,1.08010,1.08025,1.07998,1.08013,912
2025-01-01T01:15:00,1.08013,1.08027,1.08001,1.08015,915
2025-01-01T01:30:00,1.08015,1.08029,1.08003,1.08017,918
2025-01-01T01:45:00,1.08017,1.08031,1.08005,1.08019,921
2025-01-01T02:00:00,1.08019,1.08032,1.08007,1.08020,924
2025-01-01T02:15:00,1.08020,1.08033,1.08008,1.08021,927
2025-01-01T02:30:00,1.08021,1.08034,1.08009,1.08022,930
2025-01-01T02:45:00,1.08022,1.08034,1.08009,1.08021,933
2025-01-01T03:00:00,1.08021,1.08033,1.08009,1.08021,936
2025-01-01T03:15:00,1.08021,1.08033,1.08008,1.08020,939
2025-01-01T03:30:00,1.08020,1.08032,1.08006,1.08018,942
2025-01-01T03:45:00,1.08018,1.08030,1.08004,1.08016,945
2025-01-01T04:00:00,1.08016,1.08028,1.08002,1.08014,948
2025-01-01T04:15:00,1.08014,1.08026,1.08000,1.08012,951
2025-01-01T04:30:00,1.08012,1.08024,1.07997,1.08009,954
2025-01-01T04:45:00,1.08009,1.08021,1.07994,1.08006,957
2025-01-01T05:00:00,1.08006,1.08018,1.07992,1.08004,960
2025-01-01T05:15:00,1.08004,1.08016,1.07989,1.08001,963
2025-01-01T05:30:00,1.08001,1.08013,1.07987,1.07999,966
2025-01-01T05:45:00,1.07999,1.08011,1.07985,1.07997,969
2025-01-01T06:00:00,1.07997,1.08009,1.07983,1.07995,972
2025-01-01T06:15:00,1.07995,1.08007,1.07981,1.07993,975
2025-01-01T06:30:00,1.07993,1.08005,1.07980,1.07992,978
2025-01-01T06:45:00,1.07992,1.08004,1.07980,1.07992,981
2025-01-01T07:00:00,1.07992,1.08004,1.07980,1.07992,984
2025-01-01T07:15:00,1.07992,1.08004,1.07980,1.07992,987
2025-01-01T07:30:00,1.07992,1.08005,1.07980,1.07993,990
2025-01-01T07:45:00,1.07993,1.08006,1.07981,1.07994,993
2025-01-01T08:00:00,1.07994,1.08008,1.07982,1.07996,996
2025-01-01T08:15:00,1.07996,1.08010,1.07984,1.07998,999
2025-01-01T08:30:00,1.07998,1.08013,1.07986,1.08001,1002
2025-01-01T08:45:00,1.08001,1.08016,1.07989,1.08004,1005
2025-01-01T09:00:00,1.08004,1.08019,1.07992,1.08007,1008
2025-01-01T09:15:00,1.08007,1.08022,1.07995,1.08010,1011
2025-01-01T09:30:00,1.08010,1.08025,1.07998,1.08013,1014
2025-01-01T09:45:00,1.08013,1.08029,1.08001,1.08017,1017
2025-01-01T10:00:00,1.08017,1.08032,1.08005,1.08020,1020
2025-01-01T10:15:00,1.08020,1.08035,1.08008,1.08023,1023
2025-01-01T10:30:00,1.08023,1.08037,1.08011,1.08025,1026
2025-01-01T10:45:00,1.08025,1.08040,1.08013,1.08028,1029
2025-01-01T11:00:00,1.08028,1.08042,1.08016,1.08030,1032
2025-01-01T11:15:00,1.08030,1.08043,1.08018,1.08031,1035
2025-01-01T11:30:00,1.08031,1.08044,1.08019,1.08032,1038
2025-01-01T11:45:00,1.08032,1.08045,1.08020,1.08033,1041
2025-01-01T12:00:00,1.08033,1.08045,1.08021,1.08033,1044
2025-01-01T12:15:00,1.08033,1.08045,1.08020,1.08032,1047
